Player,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,Salary
Chris Paul,39,PG,82,28.0,8.8,3.6,7.4,1.3,0.3,0.427,0.377,10460000
Kelly Olynyk,33,C,44,20.3,8.7,4.7,2.9,0.8,0.4,0.5,0.418,12804878
Dorian Finney-Smith,31,PF,63,28.9,8.7,3.9,1.4,0.9,0.4,0.448,0.411,14924167
Oshae Brissett,26,SF,6,23.7,8.7,3.7,0.7,0.7,0.5,0.487,0.333,119972
Kentavious Caldwell-Pope,31,SG,77,29.6,8.7,2.2,1.8,1.3,0.4,0.439,0.342,22757000
Isaiah Collier,20,PG,71,25.9,8.7,3.3,6.3,0.9,0.2,0.422,0.249,2512680
Dante Exum,29,PG,20,18.6,8.7,1.7,2.8,0.6,0.2,0.478,0.434,3150000
Kyshawn George,21,SG,68,26.5,8.7,4.2,2.5,1.0,0.7,0.372,0.322,2825520
Jaden Hardy,22,SG,57,15.9,8.7,1.6,1.4,0.5,0.1,0.435,0.386,2019699
Dereck Lively II,20,C,36,23.1,8.7,7.5,2.4,0.6,1.6,0.702,,5014560
Tyrese Martin,25,SG,60,21.9,8.7,3.7,2.0,0.6,0.2,0.406,0.351,635853
Matas Buzelis,20,SF,80,18.9,8.6,3.5,1.0,0.4,0.9,0.454,0.361,5195520
Jaime Jaquez Jr.,23,SF,66,20.7,8.6,4.4,2.5,0.9,0.2,0.461,0.311,3685800
Ja'Kobe Walter,20,SG,52,21.2,8.6,3.1,1.6,0.8,0.2,0.405,0.349,3465000
Sam Hauser,27,PF,71,21.7,8.5,3.2,0.9,0.6,0.2,0.451,0.416,2092344
Larry Nance Jr.,32,PF,24,19.3,8.5,4.3,1.6,0.8,0.5,0.516,0.447,11205000
Jared Rhoden,25,SG,14,16.2,8.4,3.0,1.1,0.7,0.1,0.483,0.308,119972
Jaylen Nowell,25,SG,8,21.0,8.4,2.5,2.3,0.1,0.5,0.356,0.296,446743
Jaylen Nowell,25,SG,8,21.0,8.4,2.5,2.3,0.1,0.5,0.356,0.296,446743
Cason Wallace,21,SG,68,27.6,8.4,3.4,2.5,1.8,0.5,0.474,0.356,5555880
Bruce Brown,28,PG,41,22.5,8.3,4.0,2.0,0.8,0.2,0.421,0.333,23000000
Dalano Banton,25,PG,67,16.7,8.3,2.0,2.4,0.6,0.5,0.391,0.324,2196970
Brandon Clarke,28,PF,64,18.9,8.3,5.1,1.0,0.8,0.6,0.621,0.059,12500000
Keon Ellis,25,SG,80,24.4,8.3,2.7,1.5,1.5,0.8,0.489,0.433,2120693
Brandon Williams,25,PG,33,14.8,8.3,1.8,2.3,0.7,0.2,0.521,0.4,47989
Mike Conley,37,PG,71,24.7,8.2,2.6,4.5,1.1,0.2,0.4,0.41,9975962
Taurean Prince,30,SF,80,27.1,8.2,3.6,1.9,1.0,0.2,0.457,0.439,2087519
Jalen Smith,24,C,64,15.0,8.2,5.6,1.0,0.3,0.7,0.466,0.324,8571429
Quinten Post,24,PF,42,16.3,8.1,3.5,1.3,0.4,0.4,0.449,0.408,438920
Peyton Watson,22,SF,68,24.4,8.1,3.4,1.4,0.7,1.4,0.477,0.353,2413560
Davion Mitchell,26,PG,74,27.4,7.9,2.3,4.9,1.0,0.2,0.468,0.398,6451077
Caleb Martin,29,SF,45,27.1,7.9,3.9,2.1,1.0,0.5,0.424,0.359,9186594
Day'Ron Sharpe,23,C,50,18.1,7.9,6.6,1.8,0.8,0.8,0.521,0.244,3989122
Terance Mann,28,SG,67,21.1,7.7,3.0,1.8,0.7,0.2,0.496,0.368,11423077
